"id","timestamp","temp","hum","pre","co","pm2_5","no2","pm1","o3","pm10","aqi"
"39","2023-11-20 23:22:14","29.06","51.8271","1008.94","472.033","11","14.5355","8","107.975","12",NULL
"40","2023-11-20 23:24:14","28.94","51.8125","1008.95","459.145","11","14.5503","8","107.975","12",NULL
"41","2023-11-20 23:26:14","29.16","52.9707","1008.87","461.241","10","14.4915","8","107.975","11",NULL
"42","2023-11-20 23:28:14","29.51","50.1162","1008.83","469.938","9","14.5057","7","113.865","10",NULL
"43","2023-11-20 23:30:14","29.74","49.168","1008.8","462.324","10","14.5177","8","117.791","11",NULL
"44","2023-11-20 23:32:14","29.88","48.0371","1008.76","476.923","10","14.5017","8","121.718","11",NULL
"45","2023-11-20 23:34:14","30","47.4004","1008.79","478.32","9","14.5577","7","121.718","10",NULL
"46","2023-11-20 23:36:14","30.05","46.6338","1008.8","467.353","9","14.5726","7","123.681","10",NULL
"47","2023-11-20 23:38:14","30.11","45.959","1008.82","469.099","9","14.5709","7","123.681","10",NULL
"48","2023-11-20 23:40:14","30.2","52.0791","1008.84","467.353","9","14.5263","7","123.681","10",NULL
"49","2023-11-20 23:42:14","30.43","49.9033","1008.71","474.618","10","14.516","8","121.718","11",NULL
"50","2023-11-20 23:44:14","30.47","47.7529","1008.75","481.708","10","14.5143","8","121.718","11",NULL
"51","2023-11-20 23:46:14","30.5","46.2119","1008.73","472.208","9","14.5749","7","121.718","10",NULL
"52","2023-11-20 23:48:14","30.58","45.0508","1008.69","473.954","10","14.5743","8","121.718","11",NULL
"53","2023-11-20 23:50:14","30.52","45.3701","1008.64","471.265","11","14.5766","8","121.718","12",NULL
"54","2023-11-20 23:52:14","30.56","44.8662","1008.62","487.052","9","14.5052","7","119.755","10",NULL
"55","2023-11-20 23:54:14","30.57","44.4502","1008.61","482.651","9","14.512","7","119.755","10",NULL
"56","2023-11-20 23:56:14","30.52","44.4043","1008.59","487.017","10","14.5057","8","117.791","11",NULL
"57","2023-11-20 23:58:14","30.5","44.2295","1008.6","486.633","9","14.5555","7","117.791","10",NULL
"58","2023-11-21 00:00:14","30.56","43.8984","1008.58","483.874","9","14.5617","7","117.791","10",NULL
"59","2023-11-21 00:02:14","30.54","43.8574","1008.53","487.716","9","14.5543","7","117.791","10",NULL
"60","2023-11-21 00:04:14","30.67","46.5752","1008.53","474.408","9","14.5177","7","115.828","10",NULL
"61","2023-11-21 00:06:14","30.69","43.5469","1008.51","486.982","9","14.5046","7","115.828","10",NULL
"62","2023-11-21 00:08:14","30.67","43.2998","1008.52","469.484","8","14.5263","6","115.828","9",NULL
"63","2023-11-21 00:10:14","30.71","43.6592","1008.52","474.408","10","14.5726","8","115.828","11",NULL
"64","2023-11-21 00:12:14","30.64","43.1445","1008.48","470.462","9","14.5743","7","115.828","10",NULL
"65","2023-11-21 00:14:14","30.57","43.0566","1008.45","482.581","9","14.5515","7","113.865","10",NULL
"66","2023-11-21 00:16:14","30.61","42.8975","1008.41","485.131","9","14.5012","7","113.865","10",NULL
"67","2023-11-21 00:18:14","30.66","43.3096","1008.4","474.269","8","14.5115","6","113.865","9",NULL
"68","2023-11-21 00:20:14","30.57","43.0967","1008.36","486.109","8","14.5469","6","111.902","9",NULL
"69","2023-11-21 00:22:14","30.56","43.167","1008.37","485.48","9","14.5503","7","113.865","10",NULL
"70","2023-11-21 00:24:14","30.53","43.7861","1008.36","484.991","9","14.552","7","113.865","10",NULL
"71","2023-11-21 00:26:14","30.46","43.8086","1008.39","478.285","9","14.5126","7","111.902","10",NULL
"72","2023-11-21 00:28:14","30.37","43.7695","1008.42","473.326","9","14.516","7","111.902","10",NULL
"73","2023-11-21 00:30:14","30.33","43.6533","1008.42","471.894","8","14.5703","6","113.865","9",NULL
"74","2023-11-21 00:32:14","30.36","43.5137","1008.38","483.35","9","14.5526","7","111.902","10",NULL
"75","2023-11-21 00:34:14","30.42","43.1748","1008.33","472.418","7","14.5726","5","111.902","7",NULL
"76","2023-11-21 00:36:14","30.32","43.124","1008.31","484.502","8","14.4989","6","111.902","9",NULL
"77","2023-11-21 00:38:14","30.25","43.1172","1008.28","469.763","9","14.5195","7","111.902","10",NULL
"78","2023-11-21 00:40:14","30.36","42.8223","1008.3","473.884","8","14.5075","6","111.902","9",NULL
"79","2023-11-21 00:42:14","30.3","42.7764","1008.29","470.392","9","14.5657","7","111.902","10",NULL
"80","2023-11-21 00:44:14","30.26","42.7725","1008.3","471.265","8","14.5623","6","109.939","9",NULL
"81","2023-11-21 00:46:14","30.32","42.4629","1008.32","477.657","8","14.4995","6","109.939","9",NULL
"82","2023-11-21 00:48:14","30.28","42.4287","1008.31","480.241","8","14.4926","6","109.939","9",NULL
"83","2023-11-21 00:50:14","30.31","42.2891","1008.3","476.015","9","14.5057","7","109.939","10",NULL
"84","2023-11-21 00:52:14","30.23","42.3525","1008.24","483.769","9","14.5492","7","109.939","10",NULL
"85","2023-11-21 00:54:14","30.18","42.3584","1008.21","470.601","8","14.6303","6","109.939","9",NULL
"86","2023-11-21 00:56:14","30.19","42.3584","1008.24","482.861","8","14.5949","6","107.975","9",NULL
"87","2023-11-21 00:58:14","30.15","42.3154","1008.22","469.099","9","14.6023","7","107.975","10",NULL
"88","2023-11-21 01:00:14","30.12","42.2715","1008.18","476.923","9","14.5932","7","107.975","10",NULL
"89","2023-11-21 01:02:14","30.16","42.2246","1008.2","482.546","8","14.6332","6","107.975","9",NULL
"90","2023-11-21 01:04:14","30.06","42.3262","1008.18","479.298","8","14.6274","6","107.975","9",NULL
"91","2023-11-21 01:06:14","30.12","42.2295","1008.16","466.62","8","14.5617","6","107.975","9",NULL
"92","2023-11-21 01:08:14","30.05","42.1934","1008.22","480.73","7","14.4966","5","107.975","7",NULL
"93","2023-11-21 01:10:14","30.1","42.127","1008.18","476.015","9","14.5943","7","106.012","10",NULL
"94","2023-11-21 01:12:14","30.07","42.0928","1008.22","471.23","8","14.6","6","106.012","9",NULL
"95","2023-11-21 01:14:14","30.07","42.0723","1008.21","476.783","8","14.6383","6","106.012","9",NULL
"96","2023-11-21 01:16:14","30.04","42.1113","1008.18","470.497","8","14.652","6","106.012","9",NULL
"97","2023-11-21 01:18:14","29.98","42.0957","1008.12","480.94","7","14.636","5","106.012","7",NULL
"98","2023-11-21 01:20:14","29.97","42.1562","1008.12","482.616","8","14.5823","6","106.012","9",NULL
"99","2023-11-21 01:22:14","29.96","42.1455","1008.12","479.019","7","14.4915","5","106.012","7",NULL
"100","2023-11-21 01:24:14","29.92","42.1719","1008.06","466.829","8","14.5017","6","106.012","9",NULL
"101","2023-11-21 01:26:14","29.92","42.1299","1008.03","471.649","9","14.636","7","106.012","10",NULL
"102","2023-11-21 01:28:14","30.01","41.9453","1008.02","474.478","9","14.644","7","106.012","10",NULL
"103","2023-11-21 01:30:14","30.01","41.915","1008.01","471.125","7","14.6446","5","106.012","7",NULL
"104","2023-11-21 01:32:14","29.97","41.9922","1008.05","480.311","8","14.5994","6","104.049","9",NULL
"105","2023-11-21 01:34:14","29.94","41.9395","1007.98","473.291","9","14.5903","7","104.049","10",NULL
"106","2023-11-21 01:36:14","29.87","42.0869","1008","473.081","8","14.5869","6","104.049","9",NULL
"107","2023-11-21 01:38:14","29.87","42.0859","1007.98","469.553","8","14.5","6","104.049","9",NULL
"108","2023-11-21 01:40:14","29.88","42.0557","1007.95","474.967","8","14.5423","6","106.012","9",NULL
"109","2023-11-21 01:42:14","29.87","42.0547","1007.92","470.986","9","14.6006","7","104.049","10",NULL
